,ROUGE-1,ROUGE-2,ROUGE-L,SummaC
BART (CNN/DM),0.3424,0.1477,0.2556,0.2508
BART (XSum),0.2103,0.0365,0.1362,0.4392
PEGASUS (CNN/DM),0.2744,0.0948,0.1978,-0.2239
PEGASUS (XSum),0.4629,0.2463,0.3882,-0.305
Flan-T5 (CNN/DM),0.2497,0.0865,0.1927,-0.1964
Flan-T5 (XSum),0.34,0.1025,0.2554,-0.3655
